"","en","de","es","fr","ko","pl","pt","ru","zh","ja"
"Uneducated","Uneducated","Ungebildet","Analfabetos","Sans instruction","교육받지 못함","Niewykształcony","Sem estudos","Без образования","未受教育","学歴なし"
"Educated","Educated","Gebildet","Con ed. primaria","Instruit","교육받음","Wykształcony","Instruídos","С образованием","受普通教育","教育済み"
"WellEducated","Well Educated","Gut gebildet","Con ed. secundaria","Bien instruit","좋은 교육 받음","Dobrze wykształcony","Muito instruídos","С хорошим образованием","受中等教育","高校卒業"
"HighlyEducated","Highly Educated","Hochgebildet","Con ed. universitaria","Très instruit","높은 교육 받음","Bardzo dobrze wykształcony","Altamente instruídos","С высшим образованием","受高等教育","大学卒業"
"Global","Global","Global","Global","Global","글로벌","Światowy","Global","Глобальный","全球的","全体"
"Residential","Residential","Wohn","Residencial","Résidentiel","거주지","Osiedle mieszkaniowe","residencial","Жилой","住宅","住宅地区"
"Commercial","Commercial","Gewerblich","Comercial","Commercial","사업","Handlowy","Comercial","Коммерческий","商业的","商業地区"
"Industrial","Industrial","Industriell","Industriales","Industriel","산업","Przemysłowe","Industrial","Промышленные","工业","産業地区"
"Office","Office","Büro","Oficinas","Bureaux","사무","Biuro","Escritório","Деловая","办公区","オフィス地区"
"Unzoned","Unzoned","Nicht gezont","No zonificado","Non zoné","구역화되지 않음","Bez stref","Não zoneado","Незонированный","无区","未設定の区画"
"AverageHealth","Average Health","Durchschnittsgesundheit","Salud media","Santé moyenne","평균 건강","Średni stan zdrowia","Média de saúde","Средний уровень здоровья","平均健康","平均健康度"
"Sick","Sick","Krank","Enfermos","Malade","병든","Chory","Doente","Больной","生病的","病気"
"HealCapacity","Heal Capacity","Heilungskapazität","Capacidad de curación","Capacité de soin","진료 수용","Pojemność placówek","Capacidade de cura","Доступно коек","医疗床位","病院の収容人数"
"Cemetery","Cemetery","Friedhof","Cementerio","Cimetière","공동묘지","Cmentarz","Cemitério","Кладбище","公墓","墓地"
"Buried","Buried","Begrabene","Enterrados","Enterrés","안치","Pochowanych","Enterrados","Погребено","已埋葬","埋葬済"
"Crematorium","Crematorium","Krematorium","Crematorio","Crématorium","화장장","Krematorium","Crematório","Крематорий","火葬场","火葬場"
"Deceased","Deceased","Verstorbene","Fallecidos","Décès","고인","Zmarłych","Falecidos","Умерших","遗体","死者"
"DeathRate","Death Rate","Sterberate","Tasa de mortalidad","Mortalité","사망률","Wskaźnik zgonów","Taxa de mortalidade","Индекс смертности","死亡率","死亡率"
"SickChildrenTeens","Sick Children+Teens","Kranke Kinder und Jugendliche","Niños y adolescentes enfermos","Enfants et adolescents malades","아픈 어린이와 청소년","Chore dzieci I nastolatki","Crianças e adolescentes doentes","Заболевших детей и подростков","生病的儿童和青少年","病気の子供+ティーン"
"ChildrenTeens","Children+Teens","Kinder und Jugendliche","Niños y adolescentes","Enfants et adolescents","어린이와 청소년","Dzieci i Nastolatki","Crianças e adolescentes","Детей и подростков","儿童和青少年","子供+ティーン"
"BirthRate","Birth Rate","Geburtenrate","Tasa de natalidad","Taux de natalité","출산율","Współczynnik urodzeń","Taxa de nascimento","Уровень рождаемости","婴儿出生率","出生率"
"SickSeniors","Sick Seniors","Kranke Senioren","Ancianos enfermos","Seniors malades","아픈 노인","Chorzy seniorzy","Idosos doentes","Заболевших пожилых людей","生病的老年人","病気の老人"
"AverageLifeSpan","Average Life Span","Durchschnittliche Lebenserwartung","Promedio de vida","Espérance de vie moyenne","평균 수명","Przeciętna długość życia","Expectativa de vida média","Средняя продолжительность жизни","平均寿命","平均寿命"
"Average","Average","Durchschnitt","Promedio","Moyenne","평균","Przeciętny","Média","В среднем","平均数","平均"
"Level1","1","1","1","1","1","1","1","1","1","1"
"Level2","2","2","2","2","2","2","2","2","2","2"
"Level3","3","3","3","3","3","3","3","3","3","3"
"Level4","4","4","4","4","4","4","4","4","4","4"
"Level5","5","5","5","5","5","5","5","5","5","5"
"IndustrialOffice","Industrial/Office","Industriell/Büro","Industriales/Oficinas","Industriel/Bureaux","산업/사무","Przemysłowe/Biuro","Industrial/Escritório","Промышленные/Деловая","工业/办公区","産業/オフィス"
"Flow","Flow","Strömung","Fluir","Couler","흐름","Pływ","Fluxo","Поток","流动","流量"
"Ground","Ground","Erdreich","Suelo","Sol","토양","Grunt","Solo","Земля","地面","土壌"
"DrinkingWater","Drinking Water","Wasser trinken","Agua potable","Boire de l'eau","식수","Woda pitna","Água potável","Питьевая вода","饮用水","水道"
"Noise","Noise","Lärm","Ruido","Bruit","소음","Hałas","Barulho","Шум","噪音","騒音"
"Hazard","Hazard","Gefahr","Peligro","Danger","위험도","Ryzyko","Risco","Источник пожароопасности","风险指数","災害"
"Rate","Rate","Rate","Tasa","Taux","율","Stawka","Taxa","Уровень","率","割合"
"DetainedCriminals","Detained Criminals","Inhaftierte Verbrecher","Delincuentes detenidos","Criminels sous les barreaux","억류된 범죄자","Ujętych przestępców","Criminosos detidos","Задержан. преступники","已拘留罪犯","拘留中の犯罪者"
"JailsCapacity","Jails Capacity","Gefängniskapazität","Capacidad de las cárceles","Capacité prisons","교도소 수용 한도","Pojemność więzień","Capacidade das prisões","Доступно мест в тюрьмах","监狱容量","刑務所の収容人数"
"Total","Total","Gesamt","Total","Total","총","Całkowity","Total","Всего","总计","合計"
"Bus","Bus","Bus","Autobús","Bus","버스","Autobus","Ônibus","Автобус","公交车","バス"
"Trolleybus","Trolleybus","Oberleitungsbus","Trolebús","Trolleybus","트롤리버스","Trolejbus","Trólebus","Троллейбус","无轨电车","トロリーバス"
"Tram","Tram","Straßenbahn","Tranvía","Tram","전차]","Tramwaj","Bonde","Трамвай","电车","トラム"
"Metro","Metro","U-Bahn","Metro","Métro","지하철","Metro","Metrô","Метро","地铁","地下鉄"
"Train","Train","Zug","Tren","Train","기차","Pociąg","Trem","Поезд","火车","鉄道"
"Ship","Ship","Schiff","Barco","Bateau","선박","Statek","Navio","Корабль","船舶","船舶"
"Air","Air","Luft","Aire","Air","항공","Powietrze","Ar","Воздух","飞机和飞艇","飛行機"
"Monorail","Monorail","Monorail","Monorraíl","Monorail","모노레일","Kolej jednoszynowa","Monotrilho","Монорельс","单轨列车","モノレール"
"CableCar","Cable Car","Seilbahn","Teleférico","Téléphérique","케이블 카","Kolej linowa","Bondinho","Канатная дорога","缆车","ケーブルカー"
"Taxi","Taxi","Taxi","Taxi","Taxi","택시","Taxi","Táxi","Такси","出租车","タクシー"
"Children","Children","Kinder","Niños","Enfants","어린이","Dzieci","Crianças","Дети","儿童","子供"
"Teens","Teens","Jugendliche","Adolescentes","Adolescents","청소년","Nastolatki","Adolescentes","Подростки","青少年","ティーン"
"YoungAdults","Young Adults","Junge Erw.","Jóvenes","Jeunes adultes","청년","Młodzi dorośli","Jovens adultos","Молодежь","青年","若い大人"
"Adults","Adults","Erwachsene","Adultos","Adultes","성인","Dorośli","Adultos","Взрослые","成人","大人"
"Seniors","Seniors","Senioren","Ancianos","Séniors","노인","Seniorzy","Idosos","Пожилые","老年人","高齢者"
"Occupied","Occupied","Besetzt","Ocupado","Occupé","가득차 있는","Zajęty","Ocupado","Занят","占据","居住済み"
"Available","Available","Verfügbar","Disponible","Disponible","사용 가능","Dostępne","Disponíveis","Доступно","可用的","入居可能"
"PeopleEmployed","People Employed","Angestellte Bürger","Personas con empleo","Employés","취업 인구","Zatrudnieni pracownicy","Pessoas empregadas","Люди Занятые","就业人口","雇用者数"
"JobsAvailable","Jobs Available","Verfügbare Arbeitsstellen","Puestos disponibles","Emplois disponibles","일자리","Dostępne miejsca pracy","Empregos disponíveis","Доступно вакансий","职缺","求人中の仕事"
"UnfilledJobs","Unfilled Jobs","Unbesetzte Stellen","Trabajos de Sin llenar ","Non rempli emplois","채워지지 않은 작업","Niewypełnione oferty pracy","Trabalhos não preenchidos","Незаполненные вакансии","空缺职位","未雇用の求人数"
"Unemployment","Unemployment","Arbeitslose Bürger","Desempleo","Chômage","실업","Bezrobocie","Desemprego","Безработица","失业","失業率"
"Unemployed","Unemployed","Arbeitslos","Sin trabajo","Sans emploi","실업자","Bezrobotny","Desempregado","Без работы","失业","無職"
"EligibleWorkers","Eligible Workers","Berechtigte Arbeitnehmer","Trabajadores elegibles","Travailleurs éligibles","적격 근로자","Kwalifikujący się pracownicy","Trabalhadores Elegíveis","Приемлемые работники","符合条件的工人","対象の労働者"
"Import","Import","Import","Importación","Import","수입","Import","Importações","Импорт","进口","輸入"
"Export","Export","Export","Exportación","Export","수출","Eksport","Exportações","Экспорт","出口","輸出"
"Goods","Goods","Waren","Bienes","Marchandises","일반 상품","Towary","Mercadorias","Товары","货物","商品"
"Forestry","Forestry","Forstwirtschaft","Forestal","Foresterie","산림업","Leśnictwo","Florestal","Лесное хозяйство","林业","林業"
"Farming","Farming","Landwirtschaft","Ganadería","Agriculture","농업","Rolnictwo","Agricultura","Сельское хозяйство","农业","農業"
"Ore","Ore","Erz","Minerales","Minerai","광석","Kruszec","Minério","Горнорудная","矿业","鉱業"
"Oil","Oil","Öl","Crudo","Pétrole","석유","Ropa naftowa","Petróleo","Нефтяная","石化","石油業"
"Mail","Mail","Post","Correo","Courrier","우편","Poczta","Correio","Почта","邮件","郵便"
"Fish","Fish","Fisch","Pescado","Poisson","수산물","Ryba","Peixe","Рыба","鱼","魚介"
"Forest","Forest","Wald","Bosques","Forêt","숲","Las","Floresta","Лес","森林","森林"
"FertileLand","Fertile Land","Fruchtbares Land","Tierra fértil","Terres fertiles","비옥한 땅","Żyzna gleba","Terra fértil","Плодородные земли","沃土","肥沃な土地"
"Used","Used","Verwendet","Explotados","Utilisé","사용함","Zużyte","Usados","Используется","已使用","使用済"
"CityAttractiveness","City Attractiveness","Stadtattraktivität","Atractivo de la ciudad","Attractivité de la ville","도시 매력","Atrakcyjność miasta","Atratividade da cidade","Привлекательность города","城市吸引力","都市の魅力度"
"LowWealth","Low Wealth","Geringes Vermögen","Poder adquisitivo bajo","Richesse faible","저소득","Niska zamożność","Baixa riqueza","Низкое богатство","低收入","低所得"
"MediumWealth","Medium Wealth","Mittleres Vermögen","Poder adquisitivo mediano","Richesse moyenne","중산층","Średnia zamożność","Média riqueza","Среднее достаток","中收入","中所得"
"HighWealth","High Wealth","Großes Vermögen","Poder adquisitivo alto","Richesse élevée","고소득","Wysoka zamożność","Alta riqueza","Высокое богатство","高收入","高所得"
"ExchangeStudentBonus","Exchange Student Bonus","Austauschstudenten-Bonus","Bonificación de estudiantes de intercambio","Bonus étudiant étranger","교환 학생 보너스","Premia za wymianę studencką","Bônus de alunos de intercâmbio","Бонус за студентов по обмену","交换学生奖励","交換留学生のボーナス"
"WalkingTour","Walking Tour","Wandertour","Ruta a pie","Circuit pédestre","도보 투어","Wycieczka piesza","Passeio a pé","Пешая экскурсия","徒步之旅","徒歩ツアー"
"SightseeingBus","Sightseeing Bus","Sightseeing-Bus","Autobús turístico","Bus touristique","관광버스","Autobus wycieczkowy","Ônibus de turismo","Экскурсионный автобус","游览车","観光バス"
"Balloon","Balloon","Ballon","Globo","Ballon","풍선","Balon","Balão","Воздушный шар","气球","熱気球"
"Income","Income","Einnahmen","Ingresos","Revenus","수입","Dochody","Receita","Доходы","收入","収入"
"Expenses","Expenses","Kosten","Gastos","Dépenses","소송 비용","Wydatki","Despesas","Затраты","费用","経費"
"Profit","Profit","Profitieren","Lucro","Profit","이익","Zysk","Lucro","Прибыль","利润","利益"
"BankBalance","Bank Balance","Kontostand","Saldo bancario","Solde bancaire","은행 잔고","Stan konta","Saldo bancário","Банковский баланс","银行存款余额","銀行残高"
"LowDensity","Low Density","Geringe Dichte","Densidad baja","Faible densité","저밀도","Niskie zagęszczenie","Baixa densidade","Низкая плотность","低密度","低密度"
"HighDensity","High Density","Hohe Dichte","Densidad alta","Haute densité","고밀도","Wysokie zagęszczenie","Alta densidade","Высокая плотность","高密度","高密度"
"SelfSufficient","Self-Sufficient","Selbstversorgende","Autosuficientes","Autosuffisant","자급자족","Samowystarczalne","Autossuficientes","Самодостаточный","自给自足","自給自足"
"SpecializedTotal","Specialized Total","Spezialisierte Summe","Total especializado","Total spécialisé","전문화 합계","Specjalizacja Całkowity","Total Especializado","Итого от специализации","专业化总计","特化の合計"
"Leisure","Leisure","Freizeit","Ocio","Loisirs","레저","Rozrywka","Lazer","Отдых","闲暇","レジャー特化"
"Tourism","Tourism","Tourismus","Turismo","Tourisme","관광사업","Turystyka","Turismo","Туризм","旅游业","観光特化"
"OrganicAndLocalProduce","Organic and Local Produce","Biologische und lokale Herstellung","Productos ecológicos y locales","Production locale et biologique","유기농 및 지역 생산품","Produkty ekologiczne i lokalne","Produtos orgânicos e locais","Натуральные и местные продукты","当地有机产品生产","オーガニック・地産地消"
"Generic","Generic","Generisch","Genérico","Générique","비특이적","Rodzajowy","Genérico","родовой","通用的","一般区画"
"ITCluster","IT Cluster","IT-Cluster","Grupo de TI","Vallée informatique","IT 클러스터","Klaster IT","Cluster de TI","Центр информационных технологий","信息产业区","ITクラスター"
"CommercialZones","Commercial Zones","Gewerbegebiete","Zonas comerciales","Zones commerciales","상업 지역","Rejony handlowe","Zonas comerciais","Коммерческие зоны","商业区","商業地区"
"PublicTransportation","Public Transportation","Nahverkehr","Transporte público","Transport public","대중교통","Transport publiczny","Transporte público","Общественный транспорт","公共交通","公共交通"
"Roads","Roads","Straßen","Carreteras","Routes","도로","Ulica","Estradas","Дороги","道路","道路"
"Electricity","Electricity","Elektrizität","Electricidad","Électricité","전기학","Elektryczność","Eletricidade","Электричество","电力","電力"
"WaterSewage","Water and Sewage","Wasser und Abwasser","Agua y alcantarillado","Eau & Eaux usées","물 공급 및 배수","Woda i ścieki","Água e esgoto","Вода и канализация","自来水与污水","上下水道"
"WaterSewageHeating","Water, Sewage, and Heating","Wasser, Abwasser und Heizung","Agua, alcantarillado y calefacción","Eau, eaux usées et chauffage","물및하수, 난방","Woda, ścieki i ogrzewanie","Água, esgoto e aquecimento","Вода, канализация и отопление","供水，污水处理与供暖","上下水道・暖房"
"Garbage","Garbage","Müll","Basura","Déchets","쓰레기","Śmieci","Lixo","Отходы","垃圾","ゴミ処理"
"Healthcare","Healthcare","Gesundheitswesen","Atención médica","Soins de santé","의료","Opieka zdrowotna","Serviços de saúde","Здравоохранение","卫生保健","健康管理"
"Fire","Fire","Feuer","Incendio","Feu","화재","Pożar","Incêndio","Пожар","火","消防"
"Emergency","Emergency","Notfall","Emergencia","Urgence","비상","Nagły wypadek","Emergência","Скорая медицинская помощь","紧急情","災害救援"
"Police","Police","Polizei","Policía","Police","경찰","Policja","Polícia","Полиция","警察","警察"
"Education","Education","Bildung","Educación","Éducation","교육","Edukacja","Educação","Образование","教育","教育"
"ParksPlazasLandscaping","Parks, Plazas, and Landscaping","Parks, Plätze & Landschaftsbau","Parques, plazas y paisajismo","Parcs, places et Aménagement paysager","공원, 광장 및 조경","Parki, place i krajobrazu","Parques, praças e paisagismo","Парки, площади и озеленение","公园、广场和园林绿化","公園・広場・修景"
"UniqueBuildings","Unique Buildings","Einzigartige Gebäude","Edificios especiales","Bâtiments uniques","고유 건물","Budynki unikalne","Construções únicas","Уникальные сооружения","独特建筑","ユニーク施設"
"GenericSportsArenas","Generic Sports Arenas","Generische Sportarenen","Arenas deportivas genéricas","Arènes sportives génériques","일반 스포츠 경기장","Ogólne areny sportowe","Arenas Esportivas Genéricas","Общие спортивные арены","一般运动场","一般の競技施設"
"Loans","Loans","Darlehen","Préstamos","Prêts","대출","Pożyczki","Empréstimos","Кредиты","贷款","融資"
"Policies","Policies","Richtlinien","Políticas","Politiques","정책","Zasady","Políticas","Правила","政策","条例"
"CityPark","City Park","Stadtpark","Parque de la ciudad","Parc de la ville","도심 공원","Park miejski","Parque municipal","Городской парк","城市公园","都市公園"
"AmusementPark","Amusement Park","Freizeitpark","Parque de atracciones","Parc d'attractions","놀이공원","Park rozrywki","Parque de diversões","Парк развлечений","游乐园","遊園地"
"Zoo","Zoo","Zoo","Zoo","Zoo","동물원","Zoo","Zoológico","Зоопарк","动物园","動物園"
"NatureReserve","Nature Reserve","Naturschutzgebiet","Reserva natural","Réserve naturelle","자연보호구역","Rezerwat przyrody","Reserva natural","Природный парк","自然保护区","自然公園"
"WarehousesAndFactories","Warehouses and Unique Factories","Lagerhäuser und Einzigartige Fabriken","Almacenes y Fábricas Únicas","Entrepôts et usines uniques","창고 및 특수 공장","Magazyny i unikalne fabryki","Armazéns e fábricas únicas","Склады и уникальные фабрики","仓库和独特工厂","倉庫・ユニーク工場"
"FishingIndustry","Fishing Industry","Fischindustrie","Industria pesquera","Industrie de la pêche","어업","Przemysł rybołówstwa","Indústria pesqueira","Рыболовная промышленность","捕鱼业","漁業"
"TradeSchool","Trade School","Berufsschule","Escuela de oficios","École multidisciplinaire","기술대학","Politechnika","Faculdade de Comércio","Профучилище","专科学院","専門職大学"
"LiberalArtsCollege","Liberal Arts College","Geisteswissenschaftliche Universität","Universidad de artes liberales","Université d'arts libéraux","인문대학","Wyższa szkoła humanistyczna","Faculdade de Humanas","Гуманитарный институт","文科学院","リベラルアーツ大学"
"Tours","Tours","Touren","Visitas guiadas","Tournées","투어","Wycieczki","Passeios","Экскурсии","游览","ツアー"
"TollBooth","Toll Booth","Mautstelle","Cabina de peaje","Poste de péage","요금소","Punkt poboru opłat","Cabine de Pedágio","Платная дорога","收费路","料金所"
"SpaceElevator","Space Elevator","Weltraumlift","Ascensor espacial","Ascenseur de l'espace","우주엘리베이터","Kosmiczna Winda","Elevador espacial","Космический лифт","太空电梯","軌道エレベーター"
"Buildings","Buildings","Gebäuden","Edificios","Immeubles","건물","Budynki","Edifícios","Здания","建筑物","建物"
"Citizens","Citizens","Bürgeren","Los ciudadanos","Citoyens","시민","Obywatele","Cidadãos","Граждане","公民","Citizens"
"CitizenUnits","Citizen Units","Bürgereinheiten","Unidades Ciudadanas","Unités citoyennes","시민 단위","Jednostki obywatel","Unidades do cidadão","Граждане единицы","公民单位","Citizen Units"
"CitizenInstances","Citizen Instances","Bürger instanzen","Instancias ciudadanas","Instances citoyennes","시민 인스턴스","Instancje obywatel","Instâncias do cidadão","Граждане экземпляры","公民实例","Citizen Instances"
"Disasters","Disasters","Katastrophen","Desastres","Catastrophes","재해","Katastrofy","Desastres","Катастрофы","灾害","Disasters"
"Districts","Districts","Bezirke","Distritos","Les quartiers","지구","Dzielnice","Distritos","Районы","地区","地区"
"Events","Events","Veranstaltungen","Eventos","Événements","이벤트","Wydarzenia","Eventos","События","活动","Events"
"GameAreas","Game Areas","Spiel bereiche","Áreas del juego","Aires de jeu","게임 영역","Obszary gry","Áreas del jogo","Игровые зоны","游戏区","エリアのタイル"
"NetworkLanes","Network Lanes","Netzwerkspuren","Carriles de red","Voies du réseau","네트워크 레인","Pasy sieciowe","Vias de rede","Сетевые дорожки","网络通道","Network Lanes"
"NetworkNodes","Network Nodes","Netzwerkknoten","Nodos de red","Nœuds de réseau","네트워크 노드","Węzły sieciowe","Nós de Rede","Сетевые узлы","网络节点","Network Nodes"
"NetworkSegments","Network Segments","Netzwerksegmente","Segmentos de red","Segments de réseau","네트워크 세그먼트","Segmenty sieci","Segmentos de rede","Сегменты сети","网段","Network Segments"
"ParkAreas","Park Areas","Parkgebiete","Zonas de parque","Zones parc","공원 지역","Obszary parkowe","Áreas de parque","Парковые районы","公园区域","パークエリア"
"IndustryAreas","Industry Areas","Industriegebiete","Áreas de la industria","Zones industrielles","산업 지역","Obszary przemysłowe","Áreas Industriais","Промышленности районы","工业区","産業エリア"
"CampusAreas","Campus Areas","Campusbereiche","Áreas del campus","Zones de campus","캠퍼스 지역","Obszary kampusu","Campus Areas","Кампуса районы","校园 区域","キャンパスエリア"
"ParkIndustryAreas","Park, Industry Areas","Park, Industriegebiete","Parque, Áreas Industriales","Parc, Zones industrielles","공원, 산업 지역","Park, obszary przemysłowe","Parque, Áreas Industriais","Парк, Промышленные районы","园区、工业区","パーク・産業エリア"
"ParkCampusAreas","Park, Campus Areas","Park, Campusgelände","Parque, áreas del campus","Parc, Zones de campus","공원, 캠퍼스 지역","Park, obszary kampusu","Parque, áreas de campus","Парк, кампуса районы","公园、校园区","パーク・キャンパスエリア"
"IndustryCampusAreas","Industry, Campus Areas","Industrie, Campus-Bereiche","Industria, áreas del campus","Industrie, Zones de campus","산업, 캠퍼스 지역","Przemysł, obszary kampusów","Indústria, áreas de campus","Промышленность, кампуса районы","工业、校园区","産業・キャンパスエリア"
"ParkIndustryCampusAreas","Park, Industry, Campus Areas","Park, Industrie, Campusgelände","Parque, industria, áreas del campus","Parc, Industrie, Aires de Campus","공원, 산업, 캠퍼스 지역","Park, przemysł, obszary kampusu","Parque, indústria, áreas de campus","Парк, промышленность, зоны кампуса","园区、工业、校园区域","パーク・産業・キャンパスエリア"
"PathUnits","Path Units","Pfadeinheiten","Unidades de ruta","Unités de chemin","경로 단위","Jednostki ścieżki","Unidades de caminho","Единицы пути","路径单位","Path Units"
"Props","Props","Requisiten","Accesorios","Accessoires","소품","Rekwizyty","Adereços","Реквизит","道具","Props"
"RadioChannels","Radio Channels","Radiokanäle","Canales de radio","Chaînes de radio","라디오 채널","Kanały radiowe","Canais de Rádio","Радиоканалы","无线电频道","Radio Channels"
"RadioContents","Radio Contents","Radio-Inhalte","Contenidos de radio","Contenu radiophonique","라디오 콘텐츠","Treści radiowe","Conteúdo de rádio","Радио содержание","电台内容","Radio Contents"
"TransportLines","Transport Lines","Transportlinien","Líneas de transporte","Lignes de transport","수송선","Linie transportowe","Linhas de Transporte","Транспортные линии","运输线路","公共交通の路線数"
"Trees","Trees","Bäume","Árboles","Des arbres","나무","Drzewa","Arvores","Деревья","树木","ツリー"
"Vehicles","Vehicles","Fahrzeugen","Vehículos","Véhicules","차량","Pojazdy","Veículos","Транспортные средства","车辆","車両"
"VehiclesParked","Vehicles Parked","Geparkte Fahrzeuge","Vehículos estacionados","Véhicules garés","주차된 차량","Zaparkowane pojazdy","Veículos Estacionados","Припаркованные автомобили","停放的车辆","駐車車両"
"ZoneBlocks","Zone Blocks","Zonenblöcke","Bloques de zona","Blocs de zone","구역 블록","Bloki stref","Blocos de Zona","Блоки зон","区域块","Zone Blocks"
