"","en","de","es","fr","ko","pl","pt","ru","zh","ja"
"Citizens","citizens","Bürger","Ciudadanos","Habitants","시민","Mieszkańcy","Habitantes","Горожане","市民","住民"
"Percent","%","%","%","%","%","%","%","%","百分","%"
"PctOfHealCapacity","% of Heal Capacity","% der Heilungskapazität","% de Capacidad de curación","% de la Capacité de soin","진료 수용 %","% zdolności leczniczej","% da Capacidade de cura","% от Доступно коек","医疗床位百分比","病院の収容人数(%)"
"CitizensPerWeek","citizens/week","Bürger/Woche","Ciudadanos/semana","Habitants/semaine","시민/주","Mieszkańcy/tydzień","Habitantes/semana","Горожане/нед.","市民/周","住民/週"
"PctOfChildrenTeens","% of Children+Teens","% der Kinder und Jugendliche","% de Niños y adolescentes","% de la Enfants et adolescents","어린이 및 청소년의 %","% dzieci i młodzieży","% de Crianças e adolescentes","% от Детей и подростков","儿童和青少年百分比","子供+ティーン(%)"
"PctOfSeniors","% of Seniors","% der Senioren","% de Ancianos","% de la Séniors","노인의 %","% seniorów","% do Idosos","% от Пожилые","老年人百分比","高齢者(%)"
"Years","years","Jahre","Años","Années","년","Lata","Anos","год","年","年間"
"Level1To5","level 1-5","Niveau 1-5","Nivel 1-5","Niveau 1-5","레벨 1-5","Poziom 1-5","Nível 1-5","Уровень 1-5","等级 1-5","レベル 1～5"
"Level1To3","level 1-3","Niveau 1-3","Nivel 1-3","Niveau 1-3","레벨 1-3","Poziom 1-3","Nível 1-3","Уровень 1-3","等级 1-3","レベル 1～3"
"PctOfResidential","% of Residential","% der Wohn","% de Residencial","% de la Résidentiel","주거의 %","% mieszkaniowych","% de Residencial","% от Жилой","住宅百分比","住宅地区(%)"
"PctOfCommercial","% of Commercial","% der Gewerblich","% de Comercial","% de la Commercial","사업의 %","% biznesu","% de Comercial","% от Коммерческий","商业的百分比","商業地区(%)"
"PctOfIndustrial","% of Industrial","% der Industriell","% de Industrial","% de la Industriel","산업의 %","% przemysłu","% de Industrial","% от Промышленные","工业百分比","産業地区(%)"
"PctOfOffice","% of Office","% des Büro","% de Oficina","% de la Bureaux","사무실의 %","% biur","% de Escritório","% от Деловая","办公室百分比","オフィス(%)"
"PctOfJailsCapacity","% of Jails Capacity","% der Gefängniskapazität","% de Capacidad de las cárceles","% de la Capacité prisons","교도소 수용 인원의 %","% pojemności więzienia","% da Capacidade das prisões","% от Доступно мест в тюрьмах","监狱容量百分比","刑務所の収容人数(%)"
"TotalPerWeek","total/week","Gesamt/Woche","Total/semana","Total/semaine","총/주","Łącznie/tydzień","Total/semana","Всего/нед.","总计/周","合計/週"
"ResidentsPerWeek","residents/week","Einwohner/Woche","Residentes/semana","Résidents/semaine","주민/주","Mieszkańcy/tydzień","Moradores/semana","Местные жители/нед.","居民/周","居住者/週"
"TouristsPerWeek","tourists/week","Touristen/Woche","Turistas/semana","Touristes/semaine","관광객/주","Turyści/tydzień","Turistas/semana","Туристы/нед.","游客/周","観光客/週"
"PctOfAvailable","% of Available","% der Verfügbar","% de Disponible","% de Disponible","사용 가능 %","% Dostępne","% de Disponíveis","% от Доступно","可用的百分比","入居可能(%)"
"Squares","squares","quadrate","cuadrados","carrés","사각형","kwadraty","quadrados","квадраты","正方形","セル"
"Households","households","Haushalte","Familias","Ménages","가구수","Gospodarstwa","Residências","Семей","家庭数","世帯数"
"Jobs","jobs","arbeitsplätze","empleos","emplois","직업","miejsca pracy","empregos","рабочие места","工作场所","労働者数"
"HouseholdsPlusJobs","households+jobs","Haushalte+arbeitsplätze","Familias+empleos","Ménages+emplois","가구수+직업","Gospodarstwa+miejsca pracy","Residências+empregos","Семей+рабочие места","家庭数+工作场所","世帯数+労働者数"
"PctOfEligible","% of Eligible","% der Berechtigt","% de Elegibles","% de la Éligible","자격이있는 %","% Uprawnieni","% do Elegível","% от Отвечающих требованиям","符合条件的百分比","対象者(%)"
"PctOfForestAvailable","% of Forest-Available","% der Wald-Verfügbar","% de Bosques-Disponible","% de la Forêt-Disponible","숲-사용 가능 %","% dostępnego lasu","% de Floresta-Disponíveis","% доступного леса","森林-可用的百分比","森林の使用率(%)"
"PctOfFertileLandAvailable","% of Fertile Land-Available","% der Fruchtbares Land-Verfügbar","% de Tierra fértil-Disponible","% de la Terres fertiles-Disponible","비옥한 땅-사용 가능 %","% żyznej gleby dostępne","% da Terra fértil-Disponíveis","% от Плодородные земли-Доступно","沃土-可用的百分比","肥沃な土地の使用率(%)"
"PctPerWeekOfOreAvailable","%/week of Ore-Available","%/Woche der Erz-Verfügbar","%/semana de Minerales-Disponible","%/semaine de la Minerai-Disponible","광석-사용 가능 %/주","%/tydzień rudy dostępnej","%/semana de Minério-Disponíveis","%/нед. от Горнорудная-Доступно","矿业-可用的百分比/周","鉱石の使用率(％/週)"
"PctPerWeekOfOilAvailable","%/week of Oil-Available","%/Woche der Öl-Verfügbar","%/semana de Crudo-Disponible","%/semaine de la Pétrole-Disponible","석유-사용 가능 %/주","%/tydzień dostępności oleju","%/semana de Petróleo-Disponíveis","%/нед. от Нефтяная-Доступно","石化-可用的百分比/周","石油の使用率(％/週)"
"PctOfTotal","% of Total","% der Gesamtmenge","% de Total","% de la Total","총계의 %","% całości","% da Total","% от общей суммы","总计百分比","合計(%)"
"Hectare","ha","ha","ha","ha","ha","ha","ha","га","公顷","ha"
"PctOfCityIncome","% of City Income","% des Stadteinkommens","% de los ingresos de la ciudad","% du revenu de la ville","시 소득의 %","% dochodu miasta","% da renda da cidade","% городского дохода","占城市收入的百分比","都市の収入(%)"
"PctOfCityExpenses","% of City Expenses","% der Stadtausgaben","% de gastos de la ciudad","% des dépenses de la ville","도시 비용의 %","% wydatków miasta","% das despesas da cidade","% городских расходов","占城市费用的百分比","都市の支出(%)"
"MoneyPerSquareMeter","₡/m²","₡/m²","₡/m²","₡/m²","₡/m²","₡/m²","₡/m²","₡/м²","科郎/平方米","₡/㎡"
"MoneyPerWeek","₡/week","₡/Woche","₡/semana","₡/semaine","₡/주","₡/tydzień","₡/semana","₡/нед.","科郎/周","₡/週"
"Money","₡","₡","₡","₡","₡","₡","₡","₡","科郎","₡"
"Amount","amount","quantität","cantidad","montant","분량","ilość","quantia","количество","数量","数量"
